7	75
7	95
0	0
0	0
0	0
73	17
2	144
62	18
0	0
4	92
39	32
0	0
49	25
59	19
0	0
0	0
2	209
0	0
31	34
0	0
0	0
0	0
7	107
2	110
0	0
88	15
3	157
70	18
7	131
0	0
28	40
4	151
0	0
0	0
0	0
12	60
12	90
1	171
0	0
75	17
0	0
2	221
74	15
6	117
12	64
14	66
41	28
96	14
1	222
0	0
0	0
4	115
32	37
1	174
0	0
0	0
9	77
50	20
0	0
10	92
0	0
23	44
28	39
0	0
10	92
66	18
4	160
0	0
0	0
85	15
14	71
6	144
0	0
40	24
0	0
35	30
0	0
0	0
0	0
0	0
0	0
44	31
33	33
9	98
7	78
6	101
2	212
58	21
0	0
0	0
5	103
50	24
27	39
16	56
29	43
26	35
0	0
0	0
24	48
0	0
0	0
1	185
39	31
0	0
74	16
1	231
0	0
70	14
0	0
0	0
0	0
21	49
3	173
38	30
39	29
0	0
0	0
83	16
67	17
13	62
24	29
0	0
25	43
0	0
8	90
85	13
20	47
98	11
0	0
2	148
10	69
0	0
18	47
22	50
0	0
13	68
82	16
41	28
1	276
17	55
8	99
20	48
41	30
0	0
0	0
24	45
1	135
32	29
86	13
100	9
4	157
0	0
0	0
5	176
0	0
21	42
1	205
0	0
32	36
0	0
0	0
4	100
5	126
0	0
7	110
1	248
5	148
0	0
14	60
58	20
4	181
0	0
0	0
83	14
89	11
2	219
9	105
2	134
0	0
0	0
0	0
5	97
57	20
12	78
1	121
13	52
11	78
38	29
7	88
39	26
0	0
0	0
81	14
0	0
3	165
24	44
0	0
10	93
81	16
0	0
0	0
0	0
43	27
86	12
0	0
0	0
12	61
0	0
0	0
65	17
47	24
16	53
38	28
2	268
0	0
95	10
47	26
8	136
0	0
0	0
4	126
0	0
0	0
24	46
15	57
3	143
0	0
5	123
36	29
0	0
0	0
40	31
57	21
0	0
0	0
0	0
0	0
8	96
8	87
52	23
0	0
0	0
93	12
0	0
31	29
0	0
81	16
41	31
0	0
80	14
9	82
0	0
0	0
0	0
0	0
2	184
13	60
16	78
51	23
9	68
37	30
1	217
11	65
0	0
6	80
1	283
59	20
29	36
0	0
99	11
3	170
9	97
0	0
0	0
85	13
6	124
1	194
0	0
94	12
7	69
4	167
17	51
33	36
0	0
0	0
0	0
0	0
80	16
34	42
0	0
7	108
1	201
0	0
16	55
26	41
52	25
0	0
3	116
16	61
16	58
80	18
0	0
0	0
0	0
0	0
0	0
0	0
50	21
0	0
34	37
9	85
98	11
55	21
0	0
0	0
0	0
0	0
70	16
0	0
0	0
15	66
9	86
1	300
80	15
87	13
27	38
9	79
0	0
7	104
8	97
12	77
3	114
15	58
0	0
44	26
